,DeviceUser_id,Channel_id,Session_start,Session_end,Duration
167540,5f92eed8589cf50017ab4006,59f9c0dfbc95750d006b98f5,2021-01-09 13:40:52.321000+00:00,2021-01-09 13:40:52.321000+00:00,0.0
173644,5f92eed8589cf50017ab4006,59f9c0dfbc95750d006b98f5,2021-01-09 13:56:47.916000+00:00,2021-01-09 13:56:47.916000+00:00,0.0
282334,5f92eed8589cf50017ab4006,59f9c0dfbc95750d006b98f5,2021-01-09 18:12:44.805000+00:00,2021-01-09 18:12:44.805000+00:00,0.0
317503,5f92eed8589cf50017ab4006,59f9c0dfbc95750d006b98f5,2021-01-09 19:44:34.103000+00:00,2021-01-09 19:44:34.103000+00:00,0.0
225824,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 15:53:29.869000+00:00,2021-01-09 15:53:29.869000+00:00,0.0
225914,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 15:53:45.890000+00:00,2021-01-09 15:54:30.890000+00:00,45.0
291746,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 18:39:18.390000+00:00,2021-01-09 18:39:18.390000+00:00,0.0
296638,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 18:53:02.547000+00:00,2021-01-09 18:53:02.547000+00:00,0.0
297753,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 18:56:20.220000+00:00,2021-01-09 18:56:35.220000+00:00,15.0
301814,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 19:08:59.223000+00:00,2021-01-09 19:08:59.223000+00:00,0.0
302966,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 19:12:10.615000+00:00,2021-01-09 19:12:55.615000+00:00,45.0
305948,5f92ef08589cf50017ab594a,59f9c0dfbc95750d006b98f5,2021-01-09 19:20:08.741000+00:00,2021-01-09 19:20:23.741000+00:00,15.0
471091,5f92ef16589cf50017ab602e,57ea31912bb6581000092e89,2021-01-09 00:54:00.268000+00:00,2021-01-09 00:58:45.268000+00:00,285.0
70719,5f92ef57589cf50017ab8163,59f9c0dfbc95750d006b98f5,2021-01-09 07:30:16.441000+00:00,2021-01-09 07:30:16.441000+00:00,0.0
188258,5f92ef57589cf50017ab8163,59f9c0dfbc95750d006b98f5,2021-01-09 14:34:10.860000+00:00,2021-01-09 14:34:16.860000+00:00,6.0
450347,5f92ef6a589cf50017ab8b07,57ea31912bb6581000092e89,2021-01-09 00:31:32.918000+00:00,2021-01-09 00:31:32.918000+00:00,0.0
500081,5f92ef6a589cf50017ab8b07,57ea31912bb6581000092e89,2021-01-09 01:31:49.216000+00:00,2021-01-09 01:31:49.216000+00:00,0.0
